Lineup,Position,Name,Team,Opponent,Salary,Avg Points,Game Info
1,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
1,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
1,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
1,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
1,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
1,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
1,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
1,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
1,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
1,OF,Jonny DeLuca,TB,KC,3200,7.67,TB@KC 06/25/2025 07:40PM ET
2,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
2,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
2,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
2,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
2,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
2,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
2,SS,Bobby Witt Jr.,KC,TB,5500,9.28,TB@KC 06/25/2025 07:40PM ET
2,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17,ATL@NYM 06/25/2025 07:10PM ET
2,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
2,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
3,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
3,P,Hunter Brown,HOU,PHI,10500,24.47,PHI@HOU 06/25/2025 08:10PM ET
3,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
3,1B,Willson Contreras,STL,CHC,4200,7.77,CHC@STL 06/25/2025 07:45PM ET
3,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
3,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
3,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
3,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
3,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
3,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
4,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
4,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
4,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
4,1B,Ty France,MIN,SEA,3000,6.51,SEA@MIN 06/25/2025 07:40PM ET
4,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
4,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
4,SS,Elly De La Cruz,CIN,NYY,6300,10.39,NYY@CIN 06/25/2025 07:10PM ET
4,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
4,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
4,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
5,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
5,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
5,C,Cal Raleigh,SEA,MIN,6500,11.57,SEA@MIN 06/25/2025 07:40PM ET
5,1B,Pete Alonso,NYM,ATL,5200,9.29,ATL@NYM 06/25/2025 07:10PM ET
5,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
5,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
5,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
5,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
5,OF,Jonny DeLuca,TB,KC,3200,7.67,TB@KC 06/25/2025 07:40PM ET
5,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
6,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
6,P,Hunter Brown,HOU,PHI,10500,24.47,PHI@HOU 06/25/2025 08:10PM ET
6,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
6,1B,Pete Alonso,NYM,ATL,5200,9.29,ATL@NYM 06/25/2025 07:10PM ET
6,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
6,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
6,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
6,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
6,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
6,OF,Jonny DeLuca,TB,KC,3200,7.67,TB@KC 06/25/2025 07:40PM ET
7,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
7,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
7,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
7,1B,Ty France,MIN,SEA,3000,6.51,SEA@MIN 06/25/2025 07:40PM ET
7,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
7,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
7,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
7,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17,ATL@NYM 06/25/2025 07:10PM ET
7,OF,Byron Buxton,MIN,SEA,5700,10.53,SEA@MIN 06/25/2025 07:40PM ET
7,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
8,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
8,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
